Seg_ID,UP_MH,DS_MH,Dia_Inch,Shape,Material,,MWL_%,DS_%_depth,defects,Video_Quality,Location,risk_score,inspection_ranking,route,cumulative
1,118.2,117,30,Circular,RCP,,55,0,SAV,Good,Dulles Aiport,2,,1,
2,117,116,30,Circular,RCP,,25,0,SAV,Good,Dulles Aiport,2,,1,
3,116,115.8,30,Circular,RCP,209,25,0,SAV,Good,Dulles Aiport,2,,1,
4,115.8,115,30,Circular,RCP,283,25,0,SAV,Good,Dulles Aiport,2,,1,
5,115,114,30,Circular,RCP,,25,0,SAV,Good,Dulles Aiport,2,,1,
6,114,113,30,Circular,RCP,,25,0,SAV,Good,Dulles Aiport,2,,1,
7,113,112,30,Circular,RCP,,25,0,SAV,Good,Dulles Aiport,2,,1,
8,112,111,30,Circular,RCP,,25,0,SAV,Good,Dulles Aiport,2,,1,
9,111,110,30,Circular,RCP,,25,0,SAV,Good,Dulles Aiport,2,,1,
10,110,109,30,Circular,RCP,353,25,0,SAV,Good,Dulles Aiport,2,,1,
11,109,108,30,Circular,RCP,304,55,0,SAV,Good,Dulles Aiport,2,,1,
12,108,106,30,Circular,RCP,300,20,0,SAM,Good,Dulles Aiport,3,,1,
13,108,107,30,Circular,RCP,,55,0,SAV,Good,Dulles Aiport,2,,1,
14,107.84,107.83,30,Circular,RCP,313,25,0,NA,Good,Dulles Aiport,1,,1,
15,107.83,107.82,30,Circular,RCP,35,25,0,NA,Good,Dulles Aiport,1,,1,
16,107.82,107.81,30,Circular,RCP,390,25,0,NA,Good,Dulles Aiport,1,,1,
17,107.81,107.8,30,Circular,RCP,,40,0,NA,Good,Dulles Aiport,1,,1,
18,107.8,106,30,Circular,RCP,266,50,0,SAV,Good,Dulles Aiport,2,,1,
19,107.2,107.84,30,Circular,RCP,195,20,0,NA,Good,Dulles Aiport,1,,1,
20,107,107.8,30,Circular,RCP,11,50,0,SAV,Good,Dulles Aiport,2,,1,
21,106,105,30,Circular,RCP,,40,0,SAV,Good,Dulles Aiport,2,,1,
22,105,104,30,Circular,RCP,,40,0,SAV,Good,Dulles Aiport,2,,1,
23,104,103,30,Circular,RCP,375,40,0,SAV,Good,Dulles Aiport,2,,1,
24,103.81,103.8,24,Circular,RCP,,15,0,SAP,Poor,Dulles Aiport,3,,1,
25,103.8,103,24,Circular,RCP,135,15,0,NA,Good,Dulles Aiport,1,,1,
26,103.2,103.81,24,Circular,RCP,252,15,0,NA,Good,Dulles Aiport,4,,1,
27,103,102,36,Circular,RCP,173,35,0,SAV,Good,Dulles Aiport,2,,1,
28,102,101,36,Circular,RCP,,35,0,SAV,Good,Dulles Aiport,2,,1,
29,101,100,36,Circular,RCP,,25,0,SAP,Good,Dulles Aiport,3,,1,
30,100,99,36,Circular,RCP,,30,0,SAP,Good,Dulles Aiport,3,,1,
31,99,98,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
32,98,97,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
33,97,96,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
34,96,95,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
35,95,94,30,Circular,RCP,331,30,0,SAV,Good,Dulles Aiport,2,,1,
36,94,93,30,Circular,RCP,351,30,0,SAV,Good,Dulles Aiport,2,,1,
37,93,92,30,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
38,92,91,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
39,91,90,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
40,90,89,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
41,89,88,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
42,88,87,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
43,87,86,36,Circular,RCP,383,40,0,SAV,Good,Dulles Aiport,2,,1,
44,86,85,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,1,
45,85,84,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
46,84,83,36,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
47,83,82,42,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
48,82,81,42,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
49,81,80,42,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
50,80.83,80.82,24,Circular,RCP,,10,0,NA,Good,Dulles Aiport,2,,2,
51,80.82,80.81,24,Circular,RCP,257,15,0,NA,Good,Dulles Aiport,1,,2,
52,80.81,80.8,24,Circular,RCP,,15,0,NA,Good,Dulles Aiport,1,,2,
53,80.8,80,24,Circular,RCP,,15,0,NA,Good,Dulles Aiport,1,,2,
54,80.2,80.83,24,Circular,RCP,179,25,0,NA,Good,Dulles Aiport,2,,2,
55,80,79,42,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
56,79,78,42,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
57,78,77,42,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
58,77,76,42,Circular,RCP,,30,0,SAP,Good,Dulles Aiport,3,,2,
59,76,75,42,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
60,75,74,42,Circular,RCP,,30,0,SAV,Good,Dulles Aiport,2,,2,
61,74,73.8,40,Circular,PE,,50,0,NA,Good,Loudoun,4,,2,
62,73.8,73,40,Circular,PE,45,45,0,NA,Good,Loudoun,3,,2,
63,73,72,42,Circular,RCP,,35,0,SRV,Good,Loudoun,4,,2,
64,72,71,48,Circular,RCP,,35,0,SAV,Good,Loudoun,2,,2,
65,71,70.8,48,Circular,RCP,13,35,0,SAV,Good,Loudoun,2,,2,
66,70.8,70.33,48,Circular,RCP,344,35,0,SAV,Good,Loudoun,2,,2,
67,70.33,70,48,Circular,RCP,,35,0,SAV,Good,Loudoun,2,,2,
68,70,69,48,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
69,69,68.81,48,Circular,RCP,,40,0,SAV,Poor,Loudoun,2,,2,
70,68.81,68.8,48,Circular,RCP,372,40,0,SAV,Good,Loudoun,2,,2,
71,68.8,68,48,Circular,RCP,92,40,0,SAV,Good,Loudoun,2,,2,
72,68,67,48,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
73,67,66,48,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
74,66,65,48,Circular,RCP,,50,0,SAV,Good,Loudoun,2,,2,
75,65,64,48,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
76,64,63,48,Circular,RCP,,40,0,SAM,Good,Loudoun,3,,2,
77,63,62,48,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
78,62,61,48,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
79,61,60,48,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
80,60,59,48,Circular,RCP,,45,0,SAV,Good,Loudoun,2,,2,
81,59,58.33,48,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
82,58.33,58,48,Circular,RCP,385,40,0,SAV,Good,Loudoun,2,,2,
83,58,57,54,Circular,RCP,,40,0,SRP,Good,Loudoun,4,,2,
84,57,56,54,Circular,RCP,,45,0,SAV,Good,Loudoun,2,,2,
85,56,55,54,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
86,55,54,66,Circular,RCP,,30,0,SAV,Good,Loudoun,2,,2,
87,54,53.8,66,Circular,RCP,,30,0,SAV,Good,Loudoun,2,,2,
88,53.8,53,66,Circular,RCP,,25,0,SAV,Poor,Loudoun,2,,2,
89,53,52,66,Circular,RCP,,25,0,SAV,Good,Loudoun,2,,2,
90,52,51,66,Circular,RCP,,25,0,SAV,Good,Loudoun,2,,2,
91,51,50,72,Circular,RCP,,25,0,SAV,Good,Loudoun,2,,2,
92,50,49,72,Circular,RCP,,25,0,"SAV, IG",Good,Loudoun,3,,2,
93,49,48,72,Circular,RCP,,30,0,SAV,Poor,Loudoun,2,,2,
94,48,47,72,Circular,RCP,,50,0,SAV,Good,Loudoun,2,,2,
95,47,46,72,Circular,RCP,,40,0,SAV,Good,Loudoun,2,,2,
96,46,45,72,C,RCP,,50,0,SAV,Poor,Loudoun,2,,2,
97,45,44,72,C,RCP,,45,0,SAV,Good,Loudoun,2,,2,
98,325,324,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
99,324,323,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
100,323,322,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
101,322,321,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
102,321,320,36,Circular,RCP,,50,0,SAM,Good,Sugarland run,3,,3,
103,320,319,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
104,319,318,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
105,318,317,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
106,317,316,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
107,316,315,36,Circular,RCP,,50,0,SAV,Good,Sugarland run,2,,3,
108,315,314,36,Circular,RCP,,40,0,SAV,Good,Sugarland run,2,,3,
109,314,313,36,Circular,RCP,,40,0,SAV,Good,Sugarland run,2,,3,
110,313,312,42,Circular,RCP,,25,0,SAV,Good,Sugarland run,2,,3,
111,312,311,42,Circular,RCP,,25,0,SAV,Good,Sugarland run,2,,3,
112,311,310,42,Circular,RCP,,25,0,SAV,Good,Sugarland run,2,,3,
113,310,309,42,Circular,RCP,,25,0,SAV,Good,Sugarland run,2,,3,
114,309,308,42,Circular,RCP,,30,0,SAV,Poor,Sugarland run,2,,3,
115,308,307,42,Circular,RCP,,25,0,SAV,Good,Sugarland run,2,,3,
116,307,306,42,Circular,RCP,,25,0,SAV,Good,Sugarland run,2,,3,
117,306,305,42,Circular,RCP,,25,0,SAV,Good,Sugarland run,2,,3,
118,305,304,42,Circular,RCP,,30,0,SAV,Poor,Sugarland run,2,,3,
119,304,303,42,Circular,RCP,,30,0,SAV,Poor,Sugarland run,2,,3,
120,303,302,42,Circular,RCP,,30,0,SAV,Poor,Sugarland run,2,,3,
121,302,301,48,Circular,RCP,,30,0,SAV,Poor,Sugarland run,2,,3,
122,301,300,48,Circular,RCP,,30,0,SAV,Poor,Sugarland run,2,,3,
123,300,44,42,Circular,RCP,,30,0,SAV,Poor,Sugarland run,2,,3,
124,44,43,72,Circular,RCP,,35,0,SAV,Good,Loudoun,2,,4,
125,43,42,72,Circular,RCP,,35,0,SAV,Good,Loudoun,2,,4,
126,42,41,72,Circular,RCP,,40,0,SAP,Good,Loudoun,3,,4,
127,41,40,72,Circular,RCP,,35,0,SAV,Good,Loudoun,2,,4,
128,40,39,72,Circular,RCP,,30,0,SAV,Poor,Loudoun,2,,4,
129,39,38,72,Circular,RCP,,40,0,SAV,Poor,Loudoun,2,,4,
130,38,37,72,Circular,RCP,,40,0,SAV,Good,"VA, Great Falls",2,,4,
131,37,36,66,Circular,RCP,,40,0,SAV,Poor,"VA, Great Falls",2,,4,
132,36,35,66,Circular,RCP,,40,0,SAV,Poor,"VA, Great Falls",2,,4,
133,35,34,66,Circular,RCP,,40,0,SAV,Poor,"VA, Great Falls",2,,4,
134,34,33,66,Circular,RCP,,40,0,SAV,Good,"VA, Great Falls",2,,4,
135,33,32,66,Circular,RCP,,40,0,SAV,Good,"VA, Great Falls",2,,4,
136,32,31,66,Circular,RCP,,40,0,SAV,Good,"VA, Great Falls",2,,4,
137,411,410,60,Circular,RCP,27,30,0,SAV,Good,Watts&muddy,2,,5,
138,410,409,60,Circular,RCP,,20,0,SAV,Good,Watts&muddy,2,,5,
139,409,408,60,Circular,RCP,,20,0,SAV,Good,Watts&muddy,2,,5,
140,408,400,60,Circular,RCP,,20,0,SAV,Good,Watts&muddy,2,,5,
141,407,406.1,36,Circular,RCP,240,50,0,NA,Good,Watts&muddy,1,,5,
142,406,405,36,Circular,RCP,,50,0,NA,Good,Watts&muddy,1,,5,
143,405,404,36,Circular,RCP,,50,0,NA,Good,Watts&muddy,2,,5,
144,404,403,54,Circular,RCP,,25,0,NA,Good,Watts&muddy,2,,5,
145,403,402,39,Circular,RCP,,40,0,NA,Good,Watts&muddy,1,,5,
146,402,401,39,Circular,RCP,,40,0,NA,Good,Watts&muddy,1,,5,
147,401,400,39,Circular,RCP,,40,0,NA,Good,Watts&muddy,1,,5,
148,400,31,54,Circular,RCP,,25,0,SAV,Good,Watts&muddy,2,,5,
149,31,30,84,Circular,RCP,,40,0,SRV,Good,"VA, Great Falls",3,,6,
150,30,29,78,Arched,RCP,,20,0,SAV,Good,"VA, Great Falls",2,,6,
151,224,223,42,Circular,RCP,,40,0,SAV,Good,Difficult Run,2,,7,
152,223,222,42,Circular,RCP,,30,0,SAV,Good,Difficult Run,2,,7,
153,222,221,42,Circular,RCP,,50,0,SAP,Good,Difficult Run,3,,7,
154,221,220,42,Circular,RCP,,50,0,SAP,Good,Difficult Run,3,,7,
155,220,219,42,Circular,RCP,,50,0,SAM,Good,Difficult Run,3,,7,
156,219,218,42,Circular,RCP,,50,0,SAV,Good,Difficult Run,2,,7,
157,218,217,42,Circular,RCP,,50,0,SAV,Good,Difficult Run,2,,7,
158,217,216,48,Circular,RCP,,50,0,SAV,Good,Difficult Run,2,,7,
159,216,215,48,Circular,RCP,,50,0,SAV,Poor,Difficult Run,2,,7,
160,215,214,48,Circular,RCP,,50,0,SAV,Good,Difficult Run,2,,7,
161,214,213,48,Circular,RCP,,50,0,SAV,Good,Difficult Run,2,,7,
162,213,212,54,Circular,RCP,,40,0,"SAV, H",Good,Difficult Run,3,,7,
163,211,210,54,Circular,RCP,,25,0,SAV,Poor,Difficult Run,2,,7,
164,210,209,54,Circular,RCP,,25,0,SAV,Good,Difficult Run,2,,7,
165,209,208.2,66,Circular,RCP,144,25,0,SAV,Good,Difficult Run,2,,7,
166,208.2,208,66,Circular,RCP,,30,0,SAV,Good,Difficult Run,2,,7,
167,208,207,54,Circular,RCP,,25,0,SAV,Good,Difficult Run,2,,7,
168,207,206,54,Circular,RCP,,50,0,SAV,Good,Difficult Run,2,,7,
169,206,205,54,Circular,RCP,,45,0,SAV,Poor,Difficult Run,2,,7,
