Seg_ID,UP_MH,DS_MH,"Dia., Inch",Shape,Material,"Length, Ft","MWL, %","DS, % depth",defects,Video Quality,Location,Risk,Inspection Raning
1,36206,36207,42,Circular,DIP,200,95,0%,1,0,DC,1,3
2,36206,36207,60,Circular,DIP,200,95,0%,1,0,DC,1,3
3,36206,36207,60,Circular,DIP,200,95,0%,1,0,DC,1,1
4,36204,838,102,Circular,zzz,651,80,0%,4,1,DC,4,9
5,8197,36206,96,Circular,RCP,950,75,0%,1,1,DC,1,8
6,7683,8197,96,Circular,RCP,2200,80,40%,4,0,DC,4,1
7,7667,7683,96,Rectangular,RCP,500,60,0%,4,1,DC,4,9
8,6977,7667,84,Circular,RCP,2050,60,0%,1,0,DC,1,1
9,6975,6977,84,Circular,RCP,500,40,0%,3,0,DC,3,2
10,6972,6975,84,Circular,RCP,450,60,0%,1,0,DC,1,3
11,6245,6243,96,Circular,RCP,200,50,0%,1,1,DC,2,4
12,4256,4328,96,Circular,RCP,800,40,0%,3,1,DC,3,1
13,4252,4256,96,Circular,RCP,1600,30,0%,5,0,DC,4,9
14,2,4252,96,Circular,RCP,400,30,0%,4,0,DC,4,9
15,2,1.6,78,Circular,RCP,1594,10,0,1,0,"MD, CB, PKWY",1,10
16,3,2,78,Circular,RCP,1947,10,0,1,0,"MD, CB, PKWY",1,10
17,4,3,78,Circular,RCP,2006,10,0,1,0,"MD, CB, PKWY",1,10
18,5,4,78,Circular,RCP,1761,10,0,1,0,"MD, CB, PKWY",1,10
19,6,5,78,Circular,RCP,1513,10,0,1,0,"MD, CB, PKWY",1,10
20,7,6,78,Circular,RCP,821,10,0,1,0,"MD, CB, PKWY",1,10
21,8,7,78,Circular,RCP,13,10,0,1,0,"MD, CB, PKWY",1,10
22,9,8,78,Circular,RCP,1599,10,0,1,0,"MD, CB, PKWY",1,10
23,10,9,78,Circular,RCP,1997,10,0,1,0,"MD, CB, PKWY",1,10
24,11,10,78,Circular,RCP,1988,10,0,1,0,"MD, CB, PKWY",1,10
25,12,11,78,Circular,RCP,1927,40,0%,4,1,"MD, CB, PKWY",4,9
26,13,12,78,Circular,RCP,1919,50,0%,1,1,"MD, CB, PKWY",2,1
27,14,13,78,Circular,RCP,1569,10,0,1,0,"MD, CB, PKWY",1,10
28,15,14,78,Circular,RCP,1123,10,0,1,0,"MD, CB, PKWY",1,10
29,16,15,78,Circular,RCP,45,40,0%,1,0,"MD, CB, PKWY",2,1
30,17,16,72,Circular,RCP,1860,40,0%,6,0,"MD, CB, PKWY",5,9
31,18,17,78,Circular,RCP,46,45,0%,1,0,"MD, CB, PKWY",2,1
32,19,18,84,Circular,RCP,1532,25,0%,1,1,"MD, CB, PKWY",2,4
33,20,19,84,Circular,RCP,40,30,0%,1,1,"MD, CB, PKWY",2,4
34,21,20,84,Circular,RCP,1368,40,0%,1,1,"MD, CB, PKWY",2,4
35,22,21,84,Circular,RCP,2000,10,0,1,0,"MD, CB, PKWY",1,10
36,23,22,84,Circular,RCP,1974,40,10%,1,1,"MD, CB, PKWY",4,4
37,24,23,84,Circular,RCP,2031,40,0%,1,1,"MD, CB, PKWY",2,4
38,25,24,84,Circular,RCP,1986,45,0%,1,0,"MD, CB, PKWY",2,3
39,26,25,84,Circular,RCP,2177,40,0%,1,0,"MD, CB, PKWY",2,3
40,27,26,84,Circular,RCP,2100,30,0%,3,1,"MD, CB, PKWY",3,2
